"token","afinn","n"
"rt",1,452
"gopdebate",1,233
"t.co",1,156
"http",1,129
"trump",1,108
"gopdebates",1,96
"debate",1,54
"realdonaldtrump",1,53
"megynkelly",1,44
"gop",1,42
"night",1,39
"donald",1,38
"foxnews",1,35
"amp",1,34
"candidates",1,31
"people",1,29
"https",1,27
"night's",1,24
"carson",1,23
"god",1,23
"question",1,23
"time",1,23
"real",1,22
"watching",1,22
"fox",1,21
"jeb",1,21
"news",1,21
"president",1,20
"hands",1,19
"republican",1,19
"candidate",1,18
"huckabee",1,18
"rubio",1,18
"2",1,17
"cam",1,17
"ericstonestreet",1,17
"megyn",1,17
"america",1,16
"bush",1,16
"cruz",1,16
"ben",1,15
"debates",1,15
"kasich",1,15
"love",1,15
"rwsurfergirl",1,15
"hillary",1,14
"party",1,14
"paul",1,14
"tonight",1,14
"watch",1,14
"winner",1,14
"fiorina",1,13
"kelly",1,13
"life",1,13
"stage",1,13
"carly",1,12
"questions",1,12
"rand",1,12
"watched",1,12
"1",1,11
"clinton",1,11
"goldietaylor",1,11
"hillaryclinton",1,11
"rights",1,11
"talk",1,11
"wait",1,11
"won",1,11
"carlyfiorina",1,10
"gay",1,10
"military",1,10
"republicans",1,10
"talking",1,10
"tv",1,10
"2016",1,9
"answer",1,9
"break",1,9
"huge",1,9
"illegal",-1,9
"mike",1,9
"sense",1,9
"10",1,8
"bettyfckinwhite",1,8
"car",1,8
"closing",1,8
"kwrcrow",1,8
"call",1,7
"country",1,7
"donaldtrump",1,7
"guy",1,7
"hair",1,7
"hear",1,7
"immigration",1,7
"kill",-1,7
"marcorubio",1,7
"person",1,7
"randpaul",1,7
"run",1,7
"salmasekela",1,7
"scottwalker",1,7
"support",1,7
"ted",1,7
"tonight's",1,7
"trump's",1,7
"twitter",1,7
"vote",1,7
"walker",1,7
"win",1,7
"wins",1,7
"woman",1,7
"word",1,7
"world",1,7
"wow",1,7
"alien",1,6
"berniesanders",1,6
"black",1,6
"boo",1,6
"bring",1,6
"comments",1,6
"day",1,6
"democrat",1,6
"democrats",1,6
"dr",1,6
"favorite",1,6
"guys",1,6
"head",1,6
"hrc",1,6
"jebbush",1,6
"john",1,6
"legal",1,6
"marco",1,6
"office",1,6
"presidential",1,6
"ratings",1,6
"realbencarson",1,6
"stands",1,6
"top",1,6
"3",1,5
"4",1,5
"act",1,5
"attack",-1,5
"bernie",1,5
"biff",1,5
"brain",1,5
"branch",1,5
"calling",1,5
"campaign",1,5
"check",1,5
"chrischristie",1,5
"christie",1,5
"classy",1,5
"commercial",1,5
"correct",1,5
"dc",1,5
"earned",1,5
"fieldnegro",1,5
"finally",1,5
"free",1,5
"funny",1,5
"future",1,5
"himscrvikr",1,5
"impressed",1,5
"iran",1,5
"issue",1,5
"issues",1,5
"johnkasich",1,5
"kkkorgop",1,5
"leading",1,5
"lindasuhler",1,5
"line",1,5
"lost",-1,5
"missed",-1,5
"noamnesty",1,5
"obama",1,5
"performance",1,5
"pledge",1,5
"plenty",1,5
"politics",1,5
"post",1,5
"pro",1,5
"purpose",1,5
"reality",1,5
"rnc",1,5
"schultz",1,5
"stand",1,5
"status",1,5
"stupid",-1,5
"supermanhotmale",1,5
"system",1,5
"tcot",1,5
"tedcruz",1,5
"telling",1,5
"war",-1,5
"women",1,5
"16",1,4
"5",1,4
"adult",1,4
"afraid",-1,4
"agree",1,4
"americans",1,4
"aware",1,4
"bad",-1,4
"beautiful",1,4
"bencarson2016",1,4
"bethbehrs",1,4
"biggest",1,4
"bipartisanism",1,4
"bretbaier",1,4
"business",1,4
"change",1,4
"china",1,4
"chris",1,4
"cnn",1,4
"coming",1,4
"deal",1,4
"dear",1,4
"direct",1,4
"dropped",1,4
"emerges",1,4
"enterprise",1,4
"entertainment",1,4
"faithful",1,4
"father",1,4
"frank",1,4
"friends",1,4
"government",1,4
"governorperry",1,4
"govmikehuckabee",1,4
"hand",1,4
"happiest",1,4
"independent",1,4
"jamiaw",1,4
"job",1,4
"joke",1,4
"learn",1,4
"lol",1,4
"lose",1,4
"makes",1,4
"moderators",1,4
"moment",1,4
"nevermind",1,4
"overrated",1,4
"parenting",1,4
"pictures.should",1,4
"political",1,4
"poll",1,4
"popehat",1,4
"posed",1,4
"race",1,4
"raise",1,4
"refreshing",1,4
"religious",1,4
"remark",1,4
"rent",1,4
"sanders",1,4
"santorum",1,4
"set",1,4
"shocks",-1,4
"speak",1,4
"statement",1,4
"statements",1,4
"stop",-1,4
"tax",1,4
"thedailyshow",1,4
"times",1,4
"told",1,4
"tough",1,4
"trump2016",1,4
"tuned",1,4
"video",1,4
"voices",1,4
"wasserman",1,4
"weekend",1,4
"white",1,4
"wilberforce91",1,4
"winners",1,4
"yesterday",1,4
"17",1,3
"abortion",1,3
"agenda",1,3
"amazing",1,3
"answers",1,3
"audience",1,3
"babies",1,3
"bet",1,3
"bobbyjindal",1,3
"bomb",-1,3
"boy",1,3
"brought",1,3
"calls",1,3
"care",1,3
"carly2016",1,3
"character",1,3
"common",1,3
"cool",1,3
"court",1,3
"coverage",1,3
"crazy",-1,3
"created",1,3
"curly",1,3
"declared",1,3
"democratic",1,3
"desdemona4u",1,3
"discussing",1,3
"drudge",1,3
"elected",1,3
"establishment",1,3
"failed",-1,3
"feel",1,3
"followers",1,3
"fuck",-1,3
"fun",1,3
"games",1,3
"giving",1,3
"gonna",1,3
"gotta",1,3
"hadiyah",1,3
"half",1,3
"happened",1,3
"hee",1,3
"hey",1,3
"hit",1,3
"involved",1,3
"irandeal",1,3
"joe",1,3
"kayleymelissa",1,3
"learned",1,3
"left",1,3
"lgbt",1,3
"liberty",1,3
"listening",1,3
"live",1,3
"marriage",1,3
"media",1,3
"mic",1,3
"million",1,3
"monaeltahawy",1,3
"monsterandboy",1,3
"mozgovaya",1,3
"nice",1,3
"nights",1,3
"o'donnell",1,3
"ohnoshetwitnt",1,3
"p2",1,3
"palin",1,3
"parenthood",1,3
"perry",1,3
"pissed",-1,3
"planned",1,3
"play",1,3
"policy",1,3
"politically",1,3
"polls",1,3
"postmortem",1,3
"potus",1,3
"quality",1,3
"received",1,3
"records",1,3
"remember",1,3
"replace",1,3
"retweeted",1,3
"rick",1,3
"roll",1,3
"rosie",1,3
"running",1,3
"russia",1,3
"sadly",-1,3
"sallykohn",1,3
"schools",1,3
"sex",1,3
"shawndrurysc",1,3
"smart",1,3
"smartest",1,3
"snl",1,3
"social",1,3
"spoken",1,3
"taking",1,3
"teaparty",1,3
"thebaxterbean",1,3
"thepatriot143",1,3
"tickets",1,3
"topic",1,3
"totally",1,3
"truth",1,3
"tweet",1,3
"uncle",1,3
"unfathomable",1,3
"voters",1,3
"washington",1,3
"wedding",1,3
"wrong",-1,3
"x6qa8muta7",1,3
"_hankrearden",1,2
"100",1,2
"14",1,2
"1st",1,2
"24",1,2
"7",1,2
"9",1,2
"ac360",1,2
"accidentally",-1,2
"advice",1,2
"air",1,2
"alinsky",1,2
"allenwestrepub",1,2
"amendment",1,2
"america's",1,2
"american",1,2
"angry",-1,2
"annebayefsky",1,2
"answering",1,2
"anti",-1,2
"anymore",1,2
"apologize",-1,2
"apparently",1,2
"appearance",1,2
"applause",1,2
"article",1,2
"articles",1,2
"attempt",1,2
"averykayla",1,2
"awesome",1,2
"b140_tweet",1,2
"bankruptcy",1,2
"bar",1,2
"beat",1,2
"bed",1,2
"bender",1,2
"bigger",1,2
"bimbo",1,2
"birth",1,2
"bitches",-1,2
"body",1,2
"book",1,2
"boom",1,2
"border",1,2
"borowitzreport",1,2
"bot",1,2
"boys",1,2
"breaking",1,2
"bridges",1,2
"broken",-1,2
"brothers",1,2
"build",1,2
"bump",1,2
"called",1,2
"canadian",1,2
"cartel",1,2
"center",1,2
"chances",1,2
"changed",1,2
"checkers",1,2
"choice",1,2
"christian",1,2
"civil",1,2
"claim",1,2
"climate",1,2
"clips",1,2
"closed",1,2
"clown",1,2
"collect",1,2
"color",1,2
"comcatholicgrl",1,2
"comedy",1,2
"comment",1,2
"complain",-1,2
"complete",1,2
"congrats",1,2
"congress",1,2
"contenders",1,2
"contribution",1,2
"core",1,2
"correctrecord",1,2
"couple",1,2
"covers",1,2
"credit",1,2
"cries",-1,2
"crispie",1,2
"crowd",1,2
"cruz's",1,2
"crying",-1,2
"cut",-1,2
"cute",1,2
"daily",1,2
"damn",-1,2
"darth",1,2
"datechguyblog",1,2
"death",-1,2
"debbie",1,2
"demagog",1,2
"disappointed",-1,2
"divide",1,2
"dodd",1,2
"dog",1,2
"dollar",1,2
"dominates",1,2
"donation",1,2
"donations",1,2
"door",1,2
"double",1,2
"doubt",-1,2
"dougbenson",1,2
"drama",1,2
"dreamdefenders",1,2
"dust",1,2
"easily",1,2
"economics",1,2
"ed",1,2
"eh",1,2
"endorsed",1,2
"entertaining",1,2
"episode",1,2
"evening",1,2
"event",1,2
"everyday",1,2
"expand",1,2
"facebook",1,2
"facing",1,2
"fail",-1,2
"families",1,2
"family",1,2
"fan",1,2
"fb",1,2
"fbi",1,2
"fear",-1,2
"feelthebern",1,2
"fifty",1,2
"fight",-1,2
"fighter",1,2
"final",1,2
"fix",1,2
"folks",1,2
"food",1,2
"foreign",1,2
"forget",-1,2
"forgot",1,2
"form",1,2
"foxdebate",1,2
"foxnewsdebate",1,2
"foxnewspolitics",1,2
"foxnewssunday",1,2
"freedom",1,2
"friday",1,2
"friend",1,2
"fucking",-1,2
"funniest",1,2
"gallagherpreach",1,2
"glad",1,2
"gold",1,2
"gopclowncar",1,2
"gopfail",1,2
"gov",1,2
"guess",1,2
"guypbenson",1,2
"headed",1,2
"heard",1,2
"highlights",1,2
"hilarious",1,2
"hillary2016",1,2
"history",1,2
"ho",1,2
"hope",1,2
"house",1,2
"hug",1,2
"hunger",-1,2
"hurry",1,2
"hurt",-1,2
"iats8vyx7c",1,2
"icymi",1,2
"ijreview",1,2
"ingrahamangle",1,2
"insightful",1,2
"instagram",1,2
"insurance",1,2
"internet",1,2
"israel",1,2
"jeb's",1,2
"jedediahbila",1,2
"jersey",1,2
"jimmyjames38",1,2
"jindal",1,2
"join",1,2
"jon",1,2
"kelly's",1,2
"kennedynation",1,2
"kicked",1,2
"kids",1,2
"knock",1,2
"koch",1,2
"lack",-1,2
"language",1,2
"lannister",1,2
"laughter",1,2
"lead",1,2
"leader",1,2
"leaders",1,2
"leave",-1,2
"lemme",1,2
"liar",-1,2
"liberals",1,2
"lindseygrahamsc",1,2
"listen",1,2
"looked",1,2
"losers",1,2
"lot",1,2
"loved",1,2
"mad",-1,2
"markdavis",1,2
"market",1,2
"mayor",1,2
"means",1,2
"megan",1,2
"mention",1,2
"mentions",1,2
"mette_mariek",1,2
"mexican",1,2
"millions",1,2
"miss",-1,2
"moderator",1,2
"money",1,2
"mongering",-1,2
"months",1,2
"morningjoe",1,2
"mother",1,2
"movement",1,2
"mush",1,2
"mutant",1,2
"muxywithmoxie",1,2
"nailed",1,2
"naral",1,2
"national",1,2
"nicksylian",1,2
"nominee",1,2
"notamistake",1,2
"nro",1,2
"obama's",1,2
"obamacare",1,2
"odds",1,2
"offended",-1,2
"ohio",1,2
"omg",1,2
"parties",1,2
"party's",1,2
"past",1,2
"patriotmom61",1,2
"pattonoswalt",1,2
"paul's",1,2
"perfect",1,2
"phillyd",1,2
"photo",1,2
"pick",1,2
"picture",1,2
"pimps",1,2
"playing",1,2
"politician",1,2
"politicians",1,2
"polo",1,2
"ppact",1,2
"preach",1,2
"pres",1,2
"prez",1,2
"project",1,2
"proper",1,2
"proud",1,2
"psychic",1,2
"push",1,2
"quotes",1,2
"racist",-1,2
"ran",1,2
"rate",1,2
"reactions",1,2
"reading",1,2
"reagan",1,2
"realalexjones",1,2
"realize",1,2
"reason",1,2
"registered",1,2
"release",1,2
"remedy",1,2
"reminder",1,2
"report",1,2
"response",1,2
"rhetoric",1,2
"rightly",1,2
"ring",1,2
"rino",1,2
"road",1,2
"rocked",1,2
"rocks",1,2
"roger",1,2
"round",1,2
"rush",1,2
"rushlimbaugh",1,2
"sayin",1,2
"season",1,2
"seat",1,2
"send",1,2
"sensanders",1,2
"shot",1,2
"shout",1,2
"similar",1,2
"site",1,2
"sober",1,2
"sold",1,2
"source",1,2
"specific",1,2
"spent",1,2
"standing",1,2
"standwithrand",1,2
"start",1,2
"starts",1,2
"stay",1,2
"summary",1,2
"sums",1,2
"superpower",1,2
"suppose",1,2
"sydtrvp",1,2
"tactics",1,2
"takeaways",1,2
"terrorism",1,2
"terrorists",1,2
"thatchrisgore",1,2
"thedemocrats",1,2
"thinking",1,2
"throw",1,2
"throwing",1,2
"thx",1,2
"todd",1,2
"topped",1,2
"true",1,2
"trumps",1,2
"tweeted",1,2
"tweets",1,2
"u.s",1,2
"uh",1,2
"unborn",1,2
"unhappy",-1,2
"unite",1,2
"united",1,2
"unprepared",1,2
"usa",1,2
"views",1,2
"voice",1,2
"wakeupamerica",1,2
"wallace",1,2
"wanna",1,2
"washingtonpost",1,2
"wondering",1,2
"worse",-1,2
"worst",-1,2
"worth",1,2
"writeintrump",1,2
"wrote",1,2
"wxaf0qvhi5",1,2
"ya",1,2
"yall",1,2
"yarn",1,2
"ygmgbavqut",1,2
"_ciaradanix3",1,1
"_kingmalcolm",1,1
"08nrvgesra",1,1
"1,000",1,1
"1.6m",1,1
"10th",1,1
"11000",1,1
"140characters",1,1
"16.0",1,1
"18.9",1,1
"1800",1,1
"19",1,1
"1960s",1,1
"1gt4lreepo",1,1
"1m",1,1
"1z3vufjzlw",1,1
"2013",1,1
"21",1,1
"22nd",1,1
"24000",1,1
"27h90u6bau",1,1
"2b",1,1
"2dopeantibhvr",1,1
"2kvlxwb9kd",1,1
"2nd",1,1
"2noame",1,1
"34",1,1
"35",1,1
"360vodka",1,1
"37.5",1,1
"3d",1,1
"3jmydidcdf",1,1
"3l7yimjxdl",1,1
"3rd",1,1
"3tep5zszun",1,1
"40",1,1
"43.0",1,1
"44",1,1
"49",1,1
"4billlewis",1,1
"4djcc81a5m",1,1
"4ljeug3gye",1,1
"4n6wgnunhn",1,1
"4th",1,1
"4yp5vfabjq",1,1
"4yrs",1,1
"5guj7pe5ei",1,1
"5h5prwi7ju",1,1
"5sgveo7r8n",1,1
"5votes",1,1
"60",1,1
"60min",1,1
"6d6xvafpf1",1,1
"6t2pwpyix1",1,1
"7.50",1,1
"73m",1,1
"7n0vljf2sn",1,1
"7qk0peaecw",1,1
"80",1,1
"87p5eew8w7",1,1
"8aqyj9byor",1,1
"8aupr2vs6z",1,1
"8jbvwjtj3t",1,1
"8lveuhtjuj",1,1
"96",1,1
"aaaaand",1,1
"aaand",1,1
"aandgshow",1,1
"ableg",1,1
"abortions",1,1
"abusive",-1,1
"acceptance",1,1
"account",1,1
"acct",1,1
"accurate",1,1
"acerbicaxioms",1,1
"ack",1,1
"actions",1,1
"acts",1,1
"adamslily",1,1
"admin",1,1
"admirers",1,1
"admit",-1,1
"advance",1,1
"advisor",1,1
"aegon",1,1
"aerosmith",1,1
"affairs",1,1
"affect'n",1,1
"affinity",1,1
"afrochubbz",1,1
"aftermath",1,1
"agents",1,1
"aggressively",1,1
"agreed",1,1
"ahead",1,1
"ailes",1,1
"ak",1,1
"alas",-1,1
"alexandergold",1,1
"alexandraheuser",1,1
"alexconant",1,1
"algore",1,1
"alilihay",1,1
"alittlestats",1,1
"alive",1,1
"allegations",1,1
"alliebidwell",1,1
"allowed",1,1
"alot",1,1
"alpal_23",1,1
"alumni",1,1
"alyonamink",1,1
"alyssaphucker",1,1
"amandajogomez",1,1
"amazed",1,1
"amdt",1,1
"amen",1,1
"amnesty",1,1
"amount",1,1
"amprog",1,1
"amusing",1,1
"analyst",1,1
"andersoncooper",1,1
"andreatantaros",1,1
"andrew_marcinko",1,1
"andrewcryer1",1,1
"angel",1,1
"angelaledgerwoo",1,1
"ann",1,1
"annieslisttx",1,1
"annise",1,1
"announce",1,1
"announcements",1,1
"anointed",1,1
"anytime",1,1
"apology",-1,1
"appalling",-1,1
"appeared",1,1
"apprentice",1,1
"approaches",1,1
"aprillives",1,1
"aq8v8c6p0p",1,1
"aqv21",1,1
"arab",1,1
"archerone",1,1
"argue",1,1
"aridavidusa",1,1
"ark",1,1
"arm",1,1
"army",1,1
"arriving",1,1
"art",1,1
"articulate",1,1
"asdsfke513",1,1
"ashamed",-1,1
"asia",1,1
"ass",-1,1
"assassination",-1,1
"assesses",1,1
"assets",1,1
"association",1,1
"atom",1,1
"attacked",-1,1
"attacking",-1,1
"attacks",-1,1
"attempted",1,1
"attended",1,1
"attention",1,1
"attitude",1,1
"auhlnza3ww",1,1
"authority",1,1
"auxty",1,1
"avabeata",1,1
"aviation",1,1
"avoid",-1,1
"awkord",1,1
"ax",1,1
"b4",1,1
"baby",1,1
"backhanded",1,1
"badly",-1,1
"baier",1,1
"balance",1,1
"ban",-1,1
"bankruptcies",1,1
"banks",1,1
"barbarians",1,1
"barracudamama",1,1
"bars",1,1
"bartles",1,1
"bashing",1,1
"basically",1,1
"basis",1,1
"bass",1,1
"batsask",1,1
"battle",-1,1
"bayonets",1,1
"bdsp6ig77v",1,1
"bdxb2vkyqw",1,1
"beachpeanuts",1,1
"bedchamber",1,1
"beem_skeem",1,1
"beer",1,1
"behaved",1,1
"believable",1,1
"bencarson",1,1
"beneath",1,1
"benefitted",1,1
"benshapiro",1,1
"benswann_",1,1
"benwikler",1,1
"bern",1,1
"bernardgoldberg",1,1
"bernie's",1,1
"bernie2016",1,1
"bewitched",1,1
"bgzysysfsu",1,1
"bheartland",1,1
"biasedgirl",1,1
"bill",1,1
"billhemmer",1,1
"billionaire",1,1
"billmaher",1,1
"billy",1,1
"billyeichner",1,1
"bingo",1,1
"bipartisan",1,1
"birthday",1,1
"bizkit",1,1
"bkshelvesofdoom",1,1
"blackfolks",1,1
"blacks",1,1
"blahahaha",1,1
"blame",-1,1
"blessed",1,1
"blew",1,1
"blind",-1,1
"blog",1,1
"bloody",-1,1
"blurred",1,1
"bmorebrian",1,1
"bnrdebate",1,1
"board",1,1
"boatrocker",1,1
"bob",1,1
"bob's",1,1
"bobby",1,1
"bone",1,1
"boobs",1,1
"booing",1,1
"borrowing",1,1
"bother",-1,1
"bottle",1,1
"bottomless",1,1
"bounce_comic",1,1
"bowel",1,1
"bracketed",1,1
"bradonmessage",1,1
"bradthor",1,1
"brags",1,1
"brappy55",1,1
"brawling",1,1
"bret",1,1
"brewers",1,1
"brianmrosenthal",1,1
"bridgegate",1,1
"brietbart",1,1
"brilliant",1,1
"brithume",1,1
"broadcast",1,1
"brock_a_r",1,1
"brother",1,1
"brotherhood",1,1
"brownblaze",1,1
"bruce",1,1
"brucebartlett",1,1
"brunches",1,1
"bryanlowry3",1,1
"btl",1,1
"budgets",1,1
"buhbyegop",1,1
"builders",1,1
"building",1,1
"burn",1,1
"bus",1,1
"bushland",1,1
"buzzer",1,1
"bwahaha",1,1
"c6qmagevf3",1,1
"c7fwjmdqcz",1,1
"cabinet",1,1
"caked",1,1
"camacho",1,1
"camelotgypsy",1,1
"camera",1,1
"cameron_gray",1,1
"campground",1,1
"cancel",-1,1
"cancelled",-1,1
"candidacy",1,1
"candy",1,1
"candycrowley",1,1
"canned",1,1
"canttrustabush",1,1
"cap",1,1
"captain_landon",1,1
"captioning",1,1
"cards",1,1
"careing",1,1
"carmengoblue",1,1
"carry",1,1
"carson's",1,1
"cary",1,1
"catastrophe",-1,1
"catching",1,1
"catie__warren",1,1
"cbslaelsa",1,1
"cecilthelion",1,1
"celebs",1,1
"cemented",1,1
"censors",-1,1
"chadpergram",1,1
"chadstanton",1,1
"chains",1,1
"chakerkhazaal",1,1
"channel",1,1
"charles_gaba",1,1
"charlesmcnulty",1,1
"charlie",1,1
"charted",1,1
"chase",1,1
"checking",1,1
"cheer",1,1
"cheered",1,1
"cheering",1,1
"chelsea_elle",1,1
"cherishes",1,1
"chess",1,1
"chevy",1,1
"chew",1,1
"chewbacca",1,1
"chhzb49t0w",1,1
"chief",1,1
"child",1,1
"children",1,1
"chill",1,1
"choose",1,1
"chrischristie's",1,1
"christi",1,1
"christians",1,1
"chriswallace",1,1
"church",1,1
"circus",1,1
"cities",1,1
"citizenship",1,1
"city",1,1
"civilrightsorg",1,1
"claims",1,1
"claire",1,1
"clap",1,1
"clapped",1,1
"clapping",1,1
"clarknt67",1,1
"cleveland",1,1
"climatebrad",1,1
"clinton's",1,1
"close",1,1
"cmon",1,1
"coach",1,1
"code",1,1
"cohealthaccess",1,1
"colin",1,1
"columnist",1,1
"comeback",1,1
"comedians",1,1
"comfortable",1,1
"commanded",1,1
"commander",1,1
"commentator",1,1
"commentators",1,1
"commitment",1,1
"committing",1,1
"communicator",1,1
"community",1,1
"compared",1,1
"competent",1,1
"competition",1,1
"complaints",1,1
"concerns",1,1
"confidence.too",1,1
"confirmed",1,1
"congratulations",1,1
"congressional",1,1
"consensus",1,1
"consequences",1,1
"conservative",1,1
"considered",1,1
"consistently",1,1
"conssista",1,1
"consults",1,1
"consume",1,1
"continues",1,1
"contrary",1,1
"contrast",1,1
"control",1,1
"controversy",1,1
"coolest",1,1
"cop",1,1
"corn",1,1
"correctly",1,1
"corrupt",1,1
"cougar",1,1
"could've",1,1
"covinoandrich",1,1
"crack",1,1
"cral",1,1
"crapping",1,1
"cratering",1,1
"craziness",1,1
"crickets",1,1
"crime",-1,1
"critic",-1,1
"critique",1,1
"crony",1,1
"crowley",1,1
"crowns",1,1
"crush",-1,1
"cs0usassqs",1,1
"cspanwj",1,1
"culkin",1,1
"cult",1,1
"culture",1,1
"curious",1,1
"cw0rac9wqh",1,1
"cyber",1,1
"cycles",1,1
"da",1,1
"dad",1,1
"daenerys",1,1
"dalestokely",1,1
"dan_bernstein",1,1
"danholler",1,1
"danmoore755",1,1
"darrens",1,1
"data",1,1
"dataviz",1,1
"dave_gosh",1,1
"daveanthony",1,1
"davidbrockdc",1,1
"davidjwhite640",1,1
"dayum",1,1
"dbeltwrites",1,1
"dc's",1,1
"dd",1,1
"dead",-1,1
"deals",1,1
"debaitandswith",1,1
"debated",1,1
"debaters",1,1
"debatewithbernie",1,1
"debating",1,1
"debt",-1,1
"decade",1,1
"decent",1,1
"decide",1,1
"decision",1,1
"declares",1,1
"deenazarucnn",1,1
"defeat",1,1
"defend",1,1
"deferments",1,1
"define",1,1
"definitive",1,1
"defunded",1,1
"degree",1,1
"delay",-1,1
"deleted",1,1
"delivered",1,1
"delusions",1,1
"demand",-1,1
"democrat's",1,1
"demsrrealracist",1,1
"denies",-1,1
"dentist",1,1
"deray",1,1
"derogatory",1,1
"derwood",1,1
"des",1,1
"describe",1,1
"description",1,1
"deserve",1,1
"deserves",1,1
"destroy",-1,1
"dhniels",1,1
"dianneg",1,1
"dictating",1,1
"diegueno",1,1
"difference",1,1
"differences",1,1
"digest",1,1
"directly",1,1
"disapproval",1,1
"discriminated",1,1
"discussion",1,1
"dislike",-1,1
"displayed",1,1
"disrespectful",1,1
"disruptepreneur",1,1
"dissatisfying",1,1
"dissect",1,1
"diversity",1,1
"divided",1,1
"djcj7bhgzb",1,1
"dl",1,1
"doctor",1,1
"dole",1,1
"dollars",1,1
"domeniconpr",1,1
"domestic",1,1
"donkeyarguing",1,1
"donniewahlberg",1,1
"donors",1,1
"dont",1,1
"dooley_dooley",1,1
"doom",-1,1
"doriabiddle",1,1
"downright",1,1
"draft",1,1
"dragging",1,1
"draw",1,1
"dress",1,1
"drew",1,1
"drinking",1,1
"drinks",1,1
"driving",1,1
"drn2bhohii",1,1
"drnickmorgan",1,1
"drones",1,1
"drop",-1,1
"dropping",1,1
"drudge_report",1,1
"drum",1,1
"drunk",-1,1
"drunkjcrewuguys",1,1
"duh",1,1
"dumptrump",1,1
"e_sibe",1,1
"e0huw70rrr",1,1
"e1smu0hn5j",1,1
"e2rboz1zwy",1,1
"e68hblfc2g",1,1
"earlier",1,1
"ears",1,1
"earth",1,1
"east",1,1
"easy",1,1
"eat",1,1
"eat24",1,1
"eclipses",1,1
"eddiepepitone's",1,1
"edgeofsports",1,1
"edhenry",1,1
"edition",1,1
"education",1,1
"effectivley",1,1
"egypt",1,1
"electable",1,1
"election",1,1
"elegant",1,1
"elite",1,1
"elizabeth",1,1
"ellemagazine",1,1
"ellieptweet",1,1
"eloquently",1,1
"else's",1,1
"email",1,1
"emails",1,1
"embrace",1,1
"emissary",1,1
"emotional",1,1
"english",1,1
"enjoy",1,1
"enjoyed",1,1
"enjoying",1,1
"entertained",1,1
"enthusiasm",1,1
"entire",1,1
"envelope",1,1
"epa",1,1
"epicfail",1,1
"essentially",1,1
"etammykim",1,1
"eugenics",1,1
"eusebiaaq",1,1
"ewing",1,1
"exaggerates",-1,1
"excellent",1,1
"executive",1,1
"expect",1,1
"expectation",1,1
"expected",1,1
"expecting",1,1
"experiment",1,1
"explaining",1,1
"exposed",-1,1
"exposing",-1,1
"extraordinaire",1,1
"extremist",1,1
"eye",1,1
"eyes",1,1
"ez9yl3uxxs",1,1
"f687d6objl",1,1
"fackinpeter",1,1
"factlsxf4g",1,1
"facttank",1,1
"fair",1,1
"faith",1,1
"fake",-1,1
"fall",1,1
"fallen",-1,1
"false",1,1
"falters",1,1
"fascinating",1,1
"fashion",1,1
"fast",1,1
"fat",1,1
"favor",1,1
"fec",1,1
"federal",1,1
"fedral",1,1
"feeds",1,1
"female",1,1
"fence",1,1
"feud",1,1
"fewer",1,1
"field",1,1
"figure",1,1
"file",1,1
"finalist",1,1
