"id","text","rating","afinn","lsd","vader","sums"
441,"""We don't win anymore.  We lose to China.  We lose to Mexico.  We lose to everybody."" -TrumpPreach it, sir, preach it! #GOPDebate",1,0.8,-0.5,-0.888,3.376
398," @brianmrosenthal: ICYMI: At #GOPDebate, @RandPaul calls out Houston Mayor Annise Parker over #HERO controversy: http://t.co/qxB1edQOzN",1,0,-1,0.652,3.304
280,"Cruz: ""I receive the word of God everyday..."" God: ""Don't blame me for this guy. There are pills for those voices.""#GOPdebates",-1,0,-1,0.641,3.282
586,"Actually Trump, we live in the least violent time in human history. #GOPDebate",1,-0.6,-1,0.485,2.97
205,"No channel to watch now. #CNN is liberal,#FNC &amp; @megynkelly r #RNC hitman #crony . @realDonaldTrump dont join #GOPDebate anymore #GoTrump",-1,0,1,-0.475,2.95
335," @MiaHoll18: @BradThor If Mr. Trump runs as an Independent the Republicans can't win either. ",1,0.8,1,-0.472,2.944
60,"The Republican Party wakes up with a huge hangover, a splitting headache and no idea why it's in bed with Donald Trump. #GOPDebate #RSG15",-1,0,-1,0.421,2.842
505,"Yeah all the candidates are going to repel Obamacare and replace it with something! Go GOP! ",1,0.2,-1,0.418,2.836
349,"@mcbyrne Trump did NOT threaten Megyn Kelly, drama queen. #GOPDebate #FOXNEWSDEBATE #FoxDebate",1,-0.4,1,0.292,2.8
521,"I missed the #GOPDebate (driving The Mother Road) but I did take a very satisfying bowel movement in Bushland, Texas. http://t.co/e0HUW70rRR",1,-0.4,1,0.591,2.8
45,"The real voice of the #GOP in the #GOPDebate was @realDonaldTrump. @FoxNews don't be mad, he's only parroting what you have been sying 4yrs.",-1,-0.6,-1,0.388,2.776
138,"#GOPDebate Final Statement: Please Pander to Religious Nutjobs and Illiterates. Go!##FOXNEWSDEBATE#GOP#GOPDebates #RWNJ",-1,0.2,-1,0.38,2.76
454,"""I defunded Planned Parenthood. I created a culture of life."" PP = healthier people, parents &amp; babies &amp; LOWERS no. of abortions. #GOPDebates",1,-0.2,1,-0.347,2.694
94," @Kjhobbs1985: @TheDemocrats not really... like the @ppact videos you're not watching anyway. ",-1,0.4,1,-0.324,2.648
369," @FoxNews: .@ScottWalker pledges to lower the tax rate and reform the tax code, if elected president. #GOPDebate http://t.co/sknHfYkw3U",1,0,1,-0.296,2.592
448,"I don't dislike Jeb as much as most ",1,-0.4,-1,0.292,2.584
482,".@ppact can sell baby parts for profit, or whatever you want to call it, but Trump can't call a woman a slob. #GOPDebate #PC #Trump2016",1,0.2,-1,0.273,2.546
199," @funnyordie: It's not whether you win or lose, Donald. The only thing that matters in life is not winding up like you. #GOPDebate",-1,0.467,0.333,-0.777,2.488
334,"When @megynkelly says, for t sake of #argument, #LetMePlayTheDevilsAdvocate, she means it &amp; no one does it better. #GOPDebate #KellyFile",1,0.1,1,-0.202,2.404
500,"Chris Christie: Pro-Life Republicans Should Never Apologize for Being Pro-Life http://t.co/mDMnEd8lGq ",1,-0.2,1,-0.076,2.4
38," @DemocracyMatrz: Did Trump just admit to buying influence while at the same time declaring the need for campaign finance reform??? ",-1,-0.2,1,0.327,2.4
100," @DemocracyMatrz: Did Trump just admit to buying influence while at the same time declaring the need for campaign finance reform??? ",-1,-0.2,1,0.327,2.4
132,"@juliaturner @Slate It's about time they admit to something. Truthfully if the didn't then we would call them out on it. ",-1,-0.2,1,0.572,2.4
149," @Popehat: #GOPDebates Paul: ""I want to collect more records from terrorists and fewer from Americans.""",-1,0.2,-1,-0.62,2.4
442,"At last @JebBush trying to unite and pitch to by not attacking @realDonaldTrump ",1,-0.2,1,0.357,2.4
463,"No doubt! Huge bump! ",1,-0.067,-1,0.186,2.372
145,"@RealAlexJones @libertytarian @JakariJax @LeeAnnMcAdoo Wether @realDonaldTrump is a trojan horse or not, is he worth a punt? #GOPDebate",-1,0.4,1,-0.169,2.338
173,"Watching the #GOPDebates I can't help but think of Claire Underwood referring to political debates as ""spectacle"" in season 3 #Profound",-1,0.4,1,-0.16,2.32
537,"While I wasn't too impressed with her questions last night, @megynkelly 's dress rocked!!! #whoareyouwearing #GOPDebate @FoxNews",1,0.6,0,-0.531,2.262
452,"@realDonaldTrump lives to fight another day. Odds seem to ever be in his favor. ",1,0.1,-1,0.026,2.2
79," @ShannonSanford9: Undoubtedly @FoxNews doesn't want @TedCruz to have any questions. ",-1,0.2,1,-0.057,2.114
499,"Christie, Huckabee, Walker get top marks... who didn't score well last night http://t.co/3aFiekciTk #GOPDebate",1,0.4,1,-0.004,2.008
1,"For your entertainment. ",-1,0,1,0.421,2
2," @SalMasekela: Is Kasich aware that he's making sense? ",-1,0,1,0,2
13," @rebleber: Not mentioned in the #GOPdebate:Voting rightsClimate changeGun violencePolice shootingsStudent debtInequality",-1,0,-1,0,2
23,"Lemme see...who else?Bush, Rubio? Too similar. #GOPDebate",-1,0,-1,0,2
41,"Walker answering on Iran. First straighten out our Brewers. ",-1,0,1,0,2
46,"I can't wait for Hillary Clinton to put the ",-1,0,-1,0,2
47," @scrowder: Talking all things #GOPDebate. Specifically, the complete massacre that happened at the hands of Carly Fiorina. #LwC",-1,0,-1,0,2
49," @b140tweet: Rip  ",-1,0,-1,0,2
62,"hadiyah: Rand Paul rocking that Wet and Wavy. Ooh Kill'em! ",-1,0,-1,0,2
68,"@billmaher Can't wait to get your take on #GOPDebate, Planned Parenthood, Iran Deal, Trump on tonight's #RealTime",-1,0,-1,0,2
69," @jasper_deezy: Mike Huckabee quoting Limp Bizkit lyrics for his military talking points ",-1,0,-1,0,2
83,"same old tiresome ",-1,0,-1,0,2
97,"karl_sans_marx:  carmengoblue: It is like Miss America meets Jerry Springer. ",-1,0,1,0.226,2
106,"Trump didn't pledge to not run third party, but I'll pledge to vote third party if he's the nominee. http://t.co/3teP5ZSZUn #GOPDebate",-1,0,1,0.444,2
131," @GallagherPreach: It is just me or can anyone else not wait for SNL this weekend for the debate coverage? ",-1,0,1,0,2
151," @MormonDems: Ben Carson: I will end polarization by removing health insurance from 17 million Americans. ",-1,0,-1,0,2
158,"surprised to learn that Ben Carson was part of the ",-1,0,1,0.226,2
167," @pattonoswalt: Are they going to ask Lenny Kravitz's penis ONE question? This is very disrespectful. ",-1,0,-1,0,2
168,"Fox is over this. Turning this into breaking news. ",-1,0,-1,0,2
172," @Jerry_Holbert: Refreshing. ",-1,0,1,0,2
177,"Who Wants A Hug?#GOPDebate http://t.co/iaTS8vyx7c",-1,0.4,1,0,2
191," @nerdist: I gotta say it's refreshing to hear a presidential debate where everyone is correctly pronouncing ""nuclear"" #GOPDebate",-1,0,1,0,2
193," @WhineNot: Rush: ""Not one of the 9 other candidates on the stage joined Megan Kelly in going after Donald Trump"" #GOPDebate",-1,0,1,0,2
201,"@FoxNews fumbles the ",-1,0,-1,0,2
215,"It is just me or can anyone else not wait for SNL this weekend for the debate coverage? ",-1,0,1,0,2
217,"Martha MacCallum gets credit for asking whether Christians have a religious liberty double-standard for Muslims ",-1,0,1,0.718,2
227,"Watching the #GOPDebate from last night. Ouf, it's tough hearing Donald Trump speak. Gonna be a long road to the Republican nomination.",-1,0,-1,-0.128,2
233,"Repealing Dodd-Frank is not wise. ",-1,0,-1,-0.372,2
247," @theLadyGrantham: Who put Lord Grantham in charge of Donald Trump's finances? ",-1,0,-1,0,2
249,"Tonight we were entertained by the first round of the ",-1,0,1,0.402,2
267," @theyentareport: What? You want to know if any of the candidates hear strange voices in their head?  ",-1,0,-1,-0.217,2
290,"Unless you're talking about our schools, air quality, water quality... #Kasich #GOPDebates  https://t.co/znljf0zJd9",-1,0,1,0,2
302," @Conssista: Rightly so Frank. Rightly so. ",1,0,1,0,2
337," @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates",1,0,1,0.318,2
367,"@CarlyFiorina @realDonaldTrump #GOPDebate Country before party!  Why pledge away the option to do what may need to be done.",1,0,1,0.457,2
372,"Enjoyed the ",1,0,1,0.511,2
376,"Trump slams Megyn Kelly http://t.co/oBNQDPOemX via @worldnetdaily ",1,0,-1,0,2
387,"Aaand the question about the racial divide goes to ... *drum roll* ... the only black man on stage. ",1,0,-1,0,2
395,"A minister, a doctor and 2 business owners walked on a stage last night and made the most sense to me. #GOPDebate http://t.co/Gly4myQxYw",1,0,1,0,2
408," @RWSurferGirl: These debates will raise @realDonaldTrump 's ratings because Fox News is afraid of Trump and it shows. ",1,-0.4,-1,0,2
413," @MichiganCRs: ""I believe the people are looking for someone to tell the truth"" @tedcruz #Cruz2016 #GOPDebate",1,0,1,0.318,2
425,"I missed the #GOPDebate, but I'm amazed that Trump is somehow considered in the lead.https://t.co/Qzmg96pf75",1,0,1,0.572,2
429,"Ben Carson is caked up with the finest Black Radiance setting powder.#GOPDebate #GopDebates #BNRDebate #debate",1,0,1,0.34,2
434," @SalMasekela: Is Kasich aware that he's making sense? ",1,0,1,0,2
450," @RWSurferGirl: These debates will raise @realDonaldTrump 's ratings because Fox News is afraid of Trump and it shows. ",1,-0.4,-1,0,2
455," @FreedomJames7: Who Wants A Hug?#GOPDebate http://t.co/iaTS8vyx7c",1,0.4,1,0,2
456," @kerrydiaries: Honestly not sure if I'm watching Mean Girls or ",1,0,1,0.259,2
469," @stephenstephan: Rubio: Basically all life is sacred. ",1,0,1,0,2
470,"@megynkelly @BretBaier @FoxNewsSunday Ppl say @realDonaldTrump needs specifics. Yet u gave THOSE type questions ONLY to opponents ",1,0,-1,0,2
479,"Bernie Sanders is a fucking national treasure.@BernieSanders #FeelTheBern #GOPDebate #JonStewart #DonaldTrump #Bernie2016 #Democrat",1,-0.8,-1,0,2
484,".@CarlyFiorina Shows How to Push Back Against Matthews on @Hardball ",1,0,-1,0,2
485,"Fifty-fifty% on ""the stupidity of the American voter"" .@RealBenCarson on @HillaryClinton at the #GOPDebate http://t.co/pkyjSglvFr",1,0,-1,-0.44,2
487," @optibotimus: Know what's funny....the ",1,0.8,1,0,2
489," @adamslily: Here's your contrast. ",1,0,-1,0,2
493,"Mike Huckabee. You've not received the nomination too many times. @GOP ",1,0,-1,0,2
495,"sydtrvp:  BernieSanders: Tom Hanks. Finally. Somebody who makes some sense. ",1,0,1,0,2
519,"Trump got double the speaking time of Paul: http://t.co/2wndAiiiKc ",1,0,-1,0,2
524,"Trump schooling Chris Wallace reminded me of that scene in Back To School where Dangerfield schooled the nerdy biz professor. ",1,0,-1,-0.052,2
527," @comcatholicgrl: @marcorubio slaying ",1,0,-1,0,2
529,"Wouldn't this be refreshing?@tedcruz @RealBenCarson #GOPDebate  #ThinkBeforeYouVote #Stand #WillNeverLie  https://t.co/Vgz4knFXK7",1,0,1,0,2
541,"You're right Last I heard @SenSanders was that only women could give birth to s child. Has that changed? ",1,0,1,0,2
545,"Huckabee plays bass right? He must play a Steinberger. I just know it. ",1,0,1,0.527,2
553," @comcatholicgrl: ""When the government tries to invade the Church, it's time to resist"" -@RandPaul #GOPDebate",1,0,-1,0,2
554," @abbijacobson: Shiiiittt, it's tough to say who is making me more horny. #GOPDebate",1,0,-1,-0.128,2
563,"Women always call men pigs. If #Trump calls them a dog they should shut up, hypocrites @realdonaldtrump @megynkelly #GOPDebate #tcot #tlot",1,0,-1,0,2
574,"OK Trump you're the one who brought immigration to national stage sure lets go with that makes sense ",1,0,1,0.663,2
575," @SalMasekela: Is Kasich aware that he's making sense? ",1,0,1,0,2
577," @JohnKasich: John Kasich knows how to balance budgets because he's actually done it. He will do it again. ",1,0,1,0,2
581,"Trump wants to form The Night's Watch! A big wall with a fancy door! Yassssss! ",1,0.2,1,0,2
583,"If #ChrisChristie's disapproval ratings are high now, wait till the #Bridgegate trial this fall. #GOPDebate #FoxNews http://t.co/r9CTpLW5UP",1,0,-1,0,2
593," @fieldnegro: The happiest person in America today after watching those debates is HRC. ",1,0,1,0.637,2
597,"Why watch 10 contenders debate when you can just watch Megyn Kelly? ",1,0,-1,0,2
599," @SalMasekela: Is Kasich aware that he's making sense? ",1,0,1,0,2
139,"Intern on #GOPDebate: ""this lady kept asking questions about gay rights and lesbians and women's rights. It was ridiculous.""",-1,-0.6,0.333,-0.361,1.866
22,"And what a big mistake it was for Wallace to question @realDonaldTrump's business tactics. Never question Trump on business ",-1,-0.1,-1,-0.34,1.8
99,"hadiyah: Lets see Jeb Bush try to solve a Common Core math problem. ",-1,-0.1,-1,-0.226,1.8
321,"While I sometimes don't like @realDonaldTrump 's character, he's still the only candidate calling it like it is. #GOPDebate #ycot",1,0.4,1,0.1,1.8
403," @saladinahmed: That part where Huckabee started screaming about fetuses and spraying chrome paint in his mouth was intense. ",1,-0.1,-1,-0.318,1.8
405,"No one summed it up better than ",1,0.1,1,0.178,1.8
438,".@megynkelly displayed ""utmost authority"" at @foxnews #GOPDebate, critic says. http://t.co/8JbvwJTj3T http://t.co/mel8jxm19b",1,-0.1,-1,-0.202,1.8
324,"The #GOPDebate ratings were huge, which appeared to hurt broadcast: http://t.co/DRn2BHOhII",1,-0.1,-1,-0.273,1.8
148," @averykayla: At what point am I suppose to stop laughing and start crying? ",-1,-0.133,-1,-0.273,1.734
596," @DeenaZaruCNN: .@RealBenCarson: Thank you Megyn, I wasn't sure I was going to to get to talk again #GOPDebate http://t.co/GNnn9idoNs",1,0.4,1,0.138,1.724
192,"I think all the GOP candidates have a secret crush on Hillary because they were trashing talking her so much. ",-1,-0.2,-1,-0.153,1.694
21,"Sen. Perry calls for ""aviation assets"" (means spy drones) that ""identify what individuals are doing"" 24/7 #GOPDebates http://t.co/ipbSIczyIN",-1,0.4,1,0.178,1.644
570,"@ShawnSuth Don't be misled. It was like a 5/10 tweet party. The #GOPDebate, on the other hand, would have been incredible.",1,0.4,0,0.813,1.626
446,"Republicans Debate Economics: Rubio Wins, Bush Falters, Huckabee Exaggerates http://t.co/mOlloaQhWQ #GOPdebate #knowmorenotless @GPNAPLang",1,0.2,-0.333,0.477,1.62
559,"If you are one to complain about America's corrupt 2 party system - you better not complain about Trump's threat last night ",1,-0.2,-0.6,0.205,1.61
91," @ReelQuinn: Pretty sure Ted Cruz was one of the Darrens from Bewitched. #GOPDebate #Derwood",-1,0.2,1,0.67,1.6
112,"God blessed our country, the Republican candidates....but NOT them democrats. -Rubio #Paraphrase #GOPDebates you... http://t.co/PgijYpJZdf",-1,0.2,1,0.718,1.6
125," @MonsterandBoy: I am in an uproar for not being invited to tonight's debate! I demand a reason!  ",-1,-0.2,-1,-0.27,1.6
146," @0787: alyssaphucker:  HuffingtonPost: The real winner of the #GOPDebate? MegynKellyhttps://t.co/KmRn9BV2fM http://t.co/AuhlNZa3Ww",-1,0.8,0,0.586,1.6
221,".@instagram and @facebook need to free the @Dreamdefenders acct. ",-1,0.2,1,0.511,1.6
276,"Trump is going to claim God gave him a campaign contribution. ",-1,0.2,1,0.273,1.6
299,"Mr Trump's questions were NO tougher than anyone else's. When you get center stage you gotta be able to take the heat. ",-1,-0.2,-1,-0.307,1.6
325,"From watching #GOPDebate last nite, now know Rubio, Walker &amp; Santorum share belief they'd rather see wives die thn ""let"" thm get abortions.",1,-0.2,-1,-0.402,1.6
370,"Agree with @IngrahamAngle on @foxnews questions for ",1,0.2,1,0.361,1.6
386," @tonykatz: Can I get a debate where @GovChristie and @RandPaul discuss liberty and security for an hour? Please? @93wibc ",1,0.2,1,0.816,1.6
399,"Here comes Chase from Facebook, asking the important questions *hurts forearm making jerk off gesture* #GOPDebates",1,-0.2,-1,-0.572,1.6
409,"Wow, I expected a lot of people would watch the #GOPDebate but not this many http://t.co/io41NN1omN",1,0.8,0,0.34,1.6
411,"Wow ",1,0.8,0,0.586,1.6
437," @MartinOMalley: We must rein in Wall Street. I call on every candidate to commit to these four principles. ",1,0.2,1,0.296,1.6
444,"#GOPDebate reassured of affinity Republicans have with Kurdish militants. If elected president Jindal said he'll ""arm the Kurds"" i.e. PYD.",1,0.2,1,0.402,1.6
471,"Three best performance in the #GOPDebates (in no order), IMHO:  Carly Fiorina &amp; Ben Carson &amp; Marco Rubio.""",1,0.2,1,0.459,1.6
474," @daveanthony: Chewbacca should be up there just roaring every once in a while.  Would fit right in.  ",1,0.2,1,0.361,1.6
488," @Will_Bunch: So smart of Kasich to say, essentially, ""I hear the concerns of Trump voters except that I'm sane"" #GOPDebates",1,0.2,1,0.458,1.6
571,"@ericbolling ppl say @realDonaldTrump needs specifics. so, WHY did #GOPDebate panel give all THOSE type of questions to opponents?! RIGGED!",1,-0.2,-1,-0.588,1.6
598," @TeamMarco: Marco nailed it on abortion. We must protect life. ",1,0.2,1,0.382,1.6
501," @jjosephwilliams: 16% of United States homes with TV sets tuned in to ",1,0.2,1,0.421,1.6
291,"https://t.co/skhaS0lquB God Damn!  That's what's called a MEGA ",-1,-0.3,-1,-0.224,1.552
144,"@megynkelly  you lost alot of admirers last night.We Republicans are just going to beat ourselves, AGAIN!  #GOPDebate #DonaldTrump",-1,-0.6,0,0.176,1.552
260," @Jami_USA: If we don't hold everyone to the same standards during the #GOPDebates, what are they worth?",-1,0.4,1,0.226,1.548
48,"These fox news debates are no more than comedy at the laugh store... it's all for fun. ",-1,0.25,1,0.817,1.5
508,"I actually agree with @AndreaTantaros on something. She said @realDonaldTrump didn't hurt himself in ",1,-0.1,0,0.646,1.492
84," @P0TUS: .@realDonaldTrump &lt;--- ""Pay no attention to those pesky facts behind the curtain""#GOPDebate http://t.co/hxCUBSvTGL",-1,-0.267,-1,-0.586,1.466
354,"@LarronB overall the @GOP candidates demonstrated competence, command of the issues &amp; a shared optimistic vision. Thts what mttrs #GOPDebate",1,0.267,1,0.691,1.466
547,"How is it Hollywood can't get Dr. Doom right once and foxnews got it right 10 times last night? ",1,-0.4,0.333,0.309,1.466
19," @BradOnMessage: While you were watching the #GOPDebate, the candidate @algore endorsed for Nashville Mayor lost. badly.",-1,-0.267,-1,-0.527,1.466
236,"I hope people aren't so reality tv exposed that they only love that Paul and Christi raised voices.  ",-1,0.267,1,0.761,1.466
279," @olakunlesoriyan: FREEDOM is NOT FREE...and we MUST FIGHT for it EVERYDAY--@RealBenCarson  ",-1,0.133,-0.333,0.382,1.43
366,"Hi @RealBenCarson attend our event, Sept 26! We are in contact with campaign, pls say yes! AllAmericanRally.us  #GOPDebate - please ",1,0.2,0,0.708,1.416
536,"A debate with no losers: @GOP should be proud | http://t.co/koWXyZUI4z  ",1,0.1,0,0.707,1.414
229," @jolemo376: I think @FoxNews did everything it could to derail the @realDonaldTrump during the ",-1,-0.4,-1,-0.296,1.408
546,"@slone @realDonaldTrump We're watching their plans unfold- psych. warfare - pure &amp; simple. Games. ",1,-0.4,-1,-0.296,1.408
548,"@dan_bernstein That debate or if you can call it that was just a joke. The biggest one of all is Donald Trump. ",1,0.4,1,0.296,1.408
53,"Working on a huge #GOPDebate social data story. Some interesting trends, such as Trump not having the most tweeted-about moment last night.",-1,0.3,1,0.612,1.4
65," @wilw: Boy, I bet the mood in the clown car is going to be TENSE when these jerks leave the #GOPDebate.",-1,-0.3,-1,-0.663,1.4
78," @loribuckmajor: It's cute how Chris Christie has the Bob's Big Boy haircut ",-1,0.3,1,0.459,1.4
104," @DWStweets: Obamacare extends the solvency of Medicare and makes prescription drugs more affordable. That's the care seniors deserve. ",-1,0.3,1,0.572,1.4
195,"ALL the candidates represented a clear and superior choice to Hillary, Bernie, Elizabeth and Uncle Joe!!! #GOPDebate #teaparty #tcot #tdgn",-1,0.3,1,0.789,1.4
225,"""I think God's a pretty fair guy"" -Ben Carson, neurosurgeon, on his belief modern day taxation should be based on an ancient book#GOPDebate",-1,0.3,1,0.67,1.4
250," @Gauchat: Hopefully we'll find out where God stands on the taxing-pimps issue. ",-1,0.3,1,0.586,1.4
427,"@brianstelter care about reality! #REALITY MATTERS, NOT theories, equations, and books! #sciencenotsex #GOPDebate http://t.co/Od0I4cNkSn",1,0.3,1,0.683,1.4
496,"Yes, and Moe was the smartest Stooge#Democrats #GOPDebates @TheDemocrats https://t.co/Ucd675MRMY",1,0.3,1,0.772,1.4
582,"Cruz' closing statement may have sounded like it came from a meat market, but HUGE difference is that Cruz would actually do it. #GOPDebate",1,0.3,1,0.7,1.4
585,"Please help the Maryknoll Sisters replace windows in their convent https://t.co/fDgXG3VV13 ",1,0.3,1,0.612,1.4
8," @LindaSuhler: Jeb Stands By ""Act of Love""; Comments and Earned Legal Status [BOO]#NoAmnestyhttp://t.co/hImScrVikr#GOPDebates",-1,0.4,0,0.691,1.382
25," @LindaSuhler: Jeb Stands By ""Act of Love""; Comments and Earned Legal Status [BOO]#NoAmnestyhttp://t.co/hImScrVikr#GOPDebates",-1,0.4,0,0.691,1.382
