"id","text","rating","afinn","lsd","vader"
1,"  entertainment. ",-1,0,1,0.421
2," @salmasekela:  kasich aware   making sense? ",-1,0,1,0
3," @thatsmylobster: @wiseguysutah hey,  donald  coming  wiseguys anytime soon?  like advance tickets. #",-1,0.5,1,0.421
4,"nobamanoway: https:///m2zi6acgno  annebayefsky: .govmikehuckabee: ",-1,0,0,0
5," dare @ ask @  history    male chauvinist!   expect  president   integrity?! ",-1,0.5,1,0.491
6," @pulmyears: official photo   big #foxnews # last night: :///uaib1m8ekc#teaparty @socalimilitia1 @donkeyarguing",-1,0.25,0,0
7," ever happened   answers     gonna take care  vets? ",-1,0.5,1,0.494
8," @lindasuhler: jeb stands  ""act  love""; comments  earned legal status [boo]#noamnestyhttp:///himscrvikr#",-1,0.5,0,0.691
9," going  go  every candidate's relatives' resumes??? ",-1,0,0,0
10," @johnkasich: hey @,   still looking  chip , check  :///dy8knz122t#",-1,0,0,0
11,"wfie 14 news  u going  repo news affect'n  nation? https:///bdxb2vkyqw via @youtube @realalexjones ",-1,0,0,0
12," change  racist usage   word articulate  describe republicans   well spoken. ",-1,-0.75,0,-0.44
13," @rebleber:  mentioned   #:voting rightsclimate changegun violencepolice shootingsstudent debtinequality",-1,0,-1,0
14,"# winners yesterday: carly, ben carson, marco rubio, , sadly, big gov't mike huckabee. can carly knock christie   stage?",-1,-0.125,-0.333,0.077
15," @tpequality: gay rights opponent rick santorum says  ",-1,0,0,0
16," closed captioning   ",-1,0,0,0
17," @monaeltahawy: can someone send   ",-1,0,0,0
18,"republicans still talking  abortion like   1960s. ",-1,0.5,1,0.361
19," @bradonmessage:    watching  #,  candidate @algore endorsed  nashville mayor lost. badly.",-1,-0.333,-1,-0.527
20,"@carlyfiorina go carly! matthews   asshat!! nice job! ",-1,0.75,1,0.608
21,"sen. perry calls  ""aviation assets"" (means spy drones)  ""identify  individuals  "" 24/7 # :///ipbsiczyin",-1,0.5,1,0.178
22,"   big mistake    wallace  question @'s business tactics. never question   business ",-1,-0.125,-1,-0.34
23,"lemme see... else?bush, rubio?  similar. #",-1,0,0,0
24," @salmasekela:  moment  realize  watching fox news     handcuffs. ",-1,0,0,0
25," @lindasuhler: jeb stands  ""act  love""; comments  earned legal status [boo]#noamnestyhttp:///himscrvikr#",-1,0.5,0,0.691
26," @ctblogger:  image best sums   thoughts regarding last night's ",-1,0.75,1,0.637
27," @goldietaylor: closing statements! ",-1,0,0,0
28," fitting  today  ",-1,0,0,0
29,"  sums   haha: 2016 bender starts now ",-1,0.75,0,0.459
30," @rwsurfergirl:  @ posed  adult pictures.  bring  ? ",-1,0,0,0
31,"dear internet, can  start #trumping   thing?   make  thing? #trumping # # :///mi35fdffmy",-1,0.5,1,0.452
32," @bethbehrs: classy. ",-1,0.75,1,0.44
33,"@freeamerican100 @libertarianwing @randpaul @ronpaul ",-1,0,0,0
34,"sydtrvp:  berniesanders: oh.   just  movie trailer. ",-1,0,0,0
35," @gopendejos:  hour   still  mention  ",-1,0,0,0
36," @gheshes: ",-1,0,0,0
37," @guzman: top 3 #republican priorities:1:  gays2:  whitehouse white again3:  jesus #",-1,0.375,0,0.202
38," @democracymatrz:   just admit  buying influence     time declaring  need  campaign finance reform??? ",-1,-0.25,1,0.327
39,"hey look-  ",-1,0,0,0
40," @johneberkowitz:  sums   ",-1,0,0,0
41,"walker answering  iran. first straighten   brewers. ",-1,0,1,0
42," @mydaughtersarmy: 4 different pictures. 4 different subjects. 1  obvious similarity. # :///n2yixeokow",-1,0,0,0
43,"#  hugely entertaining. sadly,  learned almost nothing :///1gt4lreepo #tcot #latinoslisten #latism",-1,0,0.333,0.03
44," @juliaioffe:  elegant, witty round-  last night's #  @tnycloseread :///cw0rac9wqh",-1,0.5,1,0.477
45," real voice   #   #  @. @foxnews   mad,   parroting     sying 4yrs.",-1,-0.75,-1,-0.494
46,"  wait  hillary clinton  put  ",-1,0,-1,0
47," @scrowder: talking  things #. specifically,  complete massacre  happened   hands  carly fiorina. #lwc",-1,0,-1,0
48," fox news debates     comedy   laugh store...    fun. ",-1,0.5,1,0.856
49," @b140tweet: rip  ",-1,0,-1,0
50,"showed serious differences  approaches   world &amp; problems within  ,   importantly,  # showed   crazy.",-1,-0.5,-1,-0.477
51," @hrc:  fact  @randpaul  staked   consistent record  equality. learn  :///xhyjh1fjfk ",-1,0,1,0
52,"  ""pundits""  wrong?  usually ! :///nb3btm8ffd # #debaitandswith #italkus #wakeupamerica",-1,-0.5,-1,-0.525
53,"working   huge # social data story.  interesting trends,        tweeted- moment last night.",-1,0.375,1,0.612
54,"best thing   ",-1,0.75,1,0.637
55," @shannonrwatts:  ",-1,0,0,0
56,"thx  @flashreport   ink. #potus # @brietbart :///vtzmlujrqi",-1,0,0,0.361
57," @texasforbernie: stand w @berniesanders  extremist   feeds  violating fundamental rights ",-1,-0.5,-0.333,-0.542
58," @bethbehrs: classy. ",-1,0.75,1,0.44
59,"rubio-backed insurance market ""covers 80 people"" -obamacare covers 1.6m  fl alone :///whgcid8ee7 # :///y1awqcpfnw",-1,-0.5,0,-0.25
60," republican party wakes    huge hangover,  splitting headache   idea    bed  donald . # #rsg15",-1,0.25,-1,0.612
61," @ericstonestreet:   cam hands. ",-1,0,0,0
62,"hadiyah: rand paul rocking  wet  wavy. ooh kill'em! ",-1,0,-1,0
63," obvious  got  # - rupert murdoch wants fox  'back   # coverage :///ao0zzfzep1#trump2016 #",-1,0,0,0
64,"   f*%king entertaining    illegal! ",-1,-0.125,0,-0.248
65," @wilw: boy,  bet  mood   clown car  going   tense   jerks leave  #.",-1,-0.375,-1,-0.572
66," @bettyfckinwhite:  donald   biff  back   future 2? ",-1,0,0,0
67," @bettyfckinwhite:  donald   biff  back   future 2? ",-1,0,0,0
68,"@billmaher  wait  get  take  #, planned parenthood, iran deal,   tonight's #realtime",-1,0,-1,0
69," @jasper_deezy: mike huckabee quoting limp bizkit lyrics   military talking points ",-1,0,-1,0
70,"hadiyah: jen bush looks like  art teacher   inner city school  everyday  car gets vandalized.  ",-1,0.5,1,0.361
71,"  great business man,   donald  make  good president? #donaldtrump # #... :///tbyo1wwvis",-1,0.75,1,0.791
72," @darth:  apparently  candidates  arriving    site# :///gexsjxrct3",-1,0,0,0
73," @jackie_pepper: ",-1,0,0,0
74," @bettyfckinwhite:  donald   biff  back   future 2? ",-1,0,0,0
75,"  news -  shocks  faithful :///t0k3ookwm0  ",-1,0.125,0,0.077
76," @wendie07: ",-1,0,0,0
77,"cancelled ",-1,-0.25,0,-0.25
78," @loribuckmajor:  cute  chris christie   bob's big boy haircut ",-1,0.375,1,0.459
79," @shannonsanford9: undoubtedly @foxnews  want @tedcruz    questions. ",-1,0.25,1,0.077
80," @pfikac: .@jebbush '    verge   greatest time   alive   world  washington  holding us back' ",-1,0.5,1,0.778
81," @nascarnac: funny  see  many calling  avoid watching @foxnews   saying    decade. ",-1,0.375,0,0.178
82," @shunstrickland:  people tell    , believe . #",-1,0,0,0
83," old tiresome ",-1,0,-1,0
84," @p0tus: .@ &lt;--- ""pay  attention   pesky facts behind  curtain""# :///hxcubsvtgl",-1,-0.375,-1,-0.382
85," @teapainusa: marco rubio: "" vote  someone successful like hillary clinton   can vote  ?"" #",-1,0.625,1,0.743
86," @ericstonestreet:   cam hands. ",-1,0,0,0
87,"twitter hype ranks   60min:1 kasich -32 santorum -13 bush -1#gopdebatehttps:///f687d6objl#potus2016",-1,0,0,0
88,"@governorperry   heck  ronald raven? ",-1,0,0,0
89," know someone   finalized amount  time  candidate   speak, send    pls!#",-1,0,0,0.151
90," @jimmyjames38: flat tax   win ",-1,1,1,0.586
91," @reelquinn: pretty sure ted cruz  one   darrens  bewitched. # #derwood",-1,0.25,1,0.67
92," @joy__hart:  morning joe crowd  giving fiorina  false sense  intelligence.   sarah palin  lighter hair ",-1,0,0.333,0.67
93," @bethbehrs: classy. ",-1,0.75,1,0.44
94," @kjhobbs1985: @thedemocrats  really... like  @ppact videos   watching anyway. ",-1,0.5,1,0.42
95,"@megankellytrump   said, ""megyn, ask  nine candidates,   plan  support    win  nomination.""#",-1,0.75,1,0.758
96," hates women  ? go. ",-1,-0.75,-1,-0.44
97,"karl_sans_marx:  carmengoblue:   like miss america meets jerry springer. ",-1,0,1,0.226
98,"...#donaldtrump remains   top   polls! boo   wrong  people! #kasich2016  well. # ""fat pig"", women..",-1,0,-0.333,-0.198
99,"hadiyah: lets see jeb bush try  solve  common core math problem. ",-1,-0.125,-1,-0.226
100," @democracymatrz:   just admit  buying influence     time declaring  need  campaign finance reform??? ",-1,-0.25,1,0.327
101," @shannonrwatts: thanks  #nra influence, congress slashed cdc funding  gun violence research # #gunsense",-1,-0.25,0,-0.67
102," @ncsr18: muppet show. ",-1,0,0,0
103," took  temperature  dc's bars     watched  ",-1,0,0,0
104," @dwstweets: obamacare extends  solvency  medicare  makes prescription drugs  affordable.   care seniors deserve. ",-1,0.375,1,0.572
105," @goldietaylor: huckabee. ",-1,0,0,0
106,"  pledge   run third party,   pledge  vote third party    nominee. :///3tep5zszun #",-1,0,1,0.66
107," @thepatriot143: hey @foxnews can  let us rep digest  ",-1,0,0,0
108," @kayleymelissa: ",-1,0,0,0
109," @alliebidwell: bernie, calling  #  lack  higher ed talk, among  issues https:///27h90u6bau",-1,-0.5,-1,-0.318
110," @just_jdreaming: ""listen...  reagen  fools""  - donald  #",-1,-0.5,-1,-0.494
111," @usedtobgop:   know  anyone else  think last night ",-1,0,0,0
112,"god blessed  country,  republican candidates....   democrats. -rubio #paraphrase # ... :///pgijypjzdf",-1,0.25,1,0.718
113,"# : better   phantom menace,  worse  revenge   sith.",-1,-0.312,-0.5,-0.778
114,"zoegberg:  sarahkendzior:  believe people  writing real articles   won ",-1,0.75,1,0.572
115," never seen  larger collection  nimrods  one stage. ",-1,0,0,0
116,"true https:///lcipaybjz9 ",-1,0.5,1,0.421
117,"now ben carson wants  try   interesting.  ",-1,0.5,1,0.402
118," @_hankrearden:  haters seem especially mad today.  wonder  lol? whiny little bitches  get  . ",-1,-0.5,-1,-0.788
119,"africa got ppl  ' &amp; dl' ",-1,0,0,0
120," can  better ",-1,0.5,1,0.44
121," @youngblkrepub:  rosie o'donnell. ",-1,0,0,0
122,"people promote &amp; encourage  8-year-old boy     gay pride parade,    say  word ""disgusting animal."" # #pc",-1,0,0.333,0.599
123,"  #,     republican  get behind  smartest,  electable person   room  draft @  prez!",-1,0.5,1,0.648
124,"@cbsmiami ",-1,0,0,0
125," @monsterandboy:     uproar    invited  tonight's !  demand  reason!  ",-1,-0.25,-1,-0.27
126,"steps  help  understand #kkkorgop: 1) define rhetoric, 2) consume # rhetoric, 3) spot similarities. https:///lkuhw2nrxs",-1,0.5,1,0.402
127,"interest take   aftermath   first 2016 #gopdebatewe're actually talking   &amp;   candidate looked presidential @cspanwj",-1,0.25,0,0.459
128," @jamiaw: "" purpose   military   kill people  break things""-mike huckabee # #kkkorgop",-1,-0.75,-1,-0.691
129," @ericstonestreet:   cam hands. ",-1,0,0,0
130," @bettyfckinwhite:  donald   biff  back   future 2? ",-1,0,0,0
131," @gallagherpreach:   just   can anyone else  wait  snl  weekend    coverage? ",-1,0,-1,0
132,"@juliaturner @slate   time  admit  something. truthfully       call    . ",-1,-0.25,1,0.572
133," @goldietaylor: commercial break! ",-1,0,0,0
134," @brock_a_r:  wonder  candidate  going    first  accidentally call ben carson "" help"" #",-1,0,0,0.077
135," @foxnewsmom:  psychic.# :///wxaf0qvhi5",-1,0,0,0
136,"@foxnews @ best line   night ",-1,0.75,1,0.637
137," @nvr2conservativ: ",-1,0,0,0
138,"# final statement: please pander  religious nutjobs  illiterates. go!##foxnewsdebate## #rwnj",-1,0.25,-1,0.38
139,"intern  #: "" lady kept asking questions  gay rights  lesbians  women's rights.   ridiculous.""",-1,-0.75,0.333,-0.361
140," @thevgblog: ",-1,0,0,0
141," foxy, rowdy republican .  least @realbencarson  understand  &amp; get best advise available. # :///rrqntaak3x",-1,0.75,1,0.637
142," @mikandynothem: carly fiorina may  just won    one video clip.#",-1,0.75,1,0.572
143," @dragswolf:    built  wall  1491. ",-1,0,0,0
144,"@   lost alot  admirers last night. republicans  just going  beat , !  # #donaldtrump",-1,-0.75,0,0.176
145,"@realalexjones @libertytarian @jakarijax @leeannmcadoo wether @   trojan horse  ,   worth  punt? #",-1,0.5,1,0.226
146," @0787: alyssaphucker:  huffingtonpost:  real winner   #? megynkellyhttps:///kmrn9bv2fm :///auhlnza3ww",-1,1,0,0.586
147," @ericstonestreet:   cam hands. ",-1,0,0,0
148," @averykayla:   point   suppose  stop laughing  start crying? ",-1,-0.167,-1,-0.273
149," @popehat: # paul: "" want  collect  records  terrorists  fewer  americans.""",-1,0.25,-1,-0.586
150," @freedomjames7:    rino.# :///ew7bpoqd5b",-1,0,0,0
151," @mormondems: ben carson:  will end polarization  removing health insurance  17 million americans. ",-1,0,-1,0
152," @hillaryclinton: watch  ",-1,0,0,0
153,"  news -  shocks  faithful :///h5xbibvgst  ",-1,0.125,0,0.077
154," @_ciaradanix3:  @wakaflocka   presidential ? ",-1,0,0,0
155,"rubio    radar  # @nro @alexconant @marcorubio",-1,0,0,0
156,"@thedailyshow jon stewart can feel comfortable w/retirement  ",-1,0.5,1,0.511
157," @goldietaylor: huckabee. ",-1,0,0,0
158,"surprised  learn  ben carson  part   ",-1,0,1,0.226
159,"bingo! put    article!!! ",-1,0,0,0
160," @michaelsnook:   wait   meme  donald 's beautiful, classy door   border. #",-1,0.75,0.333,0.778
161,"boy, 'll   awesome  president  calls angel merkel  ""bimbo"".   cool. # #trump2016",-1,0.625,0.333,0.751
162,"    accurate description   system? https:///e68hblfc2g.  # illustrated    wonderful, scary fashion",-1,0.25,0.333,0.128
163," @dhniels:  know  @chrischristie  giving hugs ?  families  pearl harbor victims ",-1,-0.125,0,0.511
164,"#:  cruz  ?https:///zmrfi7bouc via @cr",-1,0,0,0
165," @mattgubser  watch  ",-1,0,0,0
166," start th evening, rnc moderators dropped atom bomb  # ... kicked  thru th uprights # #@washingtonpost",-1,-0.25,-0.333,-0.494
167," @pattonoswalt:   going  ask lenny kravitz's penis one question?    disrespectful. ",-1,0,-1,0
168,"fox   . turning   breaking news. ",-1,0,-1,0
169,"mike huckabee  bartles &amp; jaymes  like  thank    support. ",-1,0.5,1,0.772
170,"@randpaul  defend  4th amendment  eloquently last night   article   good mediator :///vlt68ymse2 ",-1,0.75,1,0.44
171," @larryelder: worse   unprepared candidate  blind support  one.   pulling  ",-1,-0.167,-0.5,-0.477
172," @jerry_holbert: refreshing. ",-1,0,1,0
173,"watching  #   help  think  claire underwood referring  political debates  ""spectacle""  season 3 #profound",-1,0.5,1,0.402
174," @makinh15tory: lol @  ",-1,0.75,0,0.519
175," wish  ",-1,0.25,0,0.402
176," @naral: .@bobbyjindal brags   anti-choice  state ; @amprog report  2013 said louisiana  worst state  women. ",-1,-0.75,-1,-0.625
177," wants  hug?# :///iats8vyx7c",-1,0.5,1,0.477
178," @thebaxterbean: 5 things rand paul's kentucky 've spent $73m  instead   fake noah's ark :///s1gkhsy1bf ",-1,-0.75,-1,-0.477
179," @ironghazi: finally someone talking   real issues ",-1,0,0,0
180," @gov: -tweeted ",-1,0,0,0
181," @bounce_comic: black folks looking  @bencarson2016 like... ",-1,0.5,1,0.361
182," @keemstarx:  black guy  smart  fuck! ",-1,-0.375,0,-0.271
183," @climatebrad: .@jebbush's million-dollar donors, updated thx  @zachmider :///k3bcdnutm0 # :///qdiwcwnqy0",-1,0,0,0.361
184," @hemantmehta: can  just build  fence around ? ",-1,0,0,0
185,"@khou @jebbush ",-1,0,0,0
186,"@whitemamba23 100%!!! hilary hanging  kimye    dead center  #   3rd party  ""stupid""??",-1,-0.625,-1,-0.804
187,"  help  think dr. carson   hoping  ""gifted hands"" can make  way   flailing mouth. #",-1,0.5,1,0.67
188," @kwrcrow:  will  learn? @foxnews @ attack @   wins @time &amp; @drudge poll. ",-1,0.375,0.333,0.153
189," looooooove israel  much. ",-1,0,0,0
190,"watching  republican party implode  within  magical. ",-1,0,0,0.402
191," @nerdist:  gotta say  refreshing  hear  presidential   everyone  correctly pronouncing ""nuclear"" #",-1,0,1,0
192," think    candidates   secret crush  hillary    trashing talking   much. ",-1,-0.25,-1,-0.153
193," @whinenot: rush: "" one   9  candidates   stage joined megan kelly  going  donald "" #",-1,0,1,0
194," @onlyinbos:  closing statement. ",-1,0,0,0
195,"  candidates represented  clear  superior choice  hillary, bernie, elizabeth  uncle joe!!! # #teaparty #tcot #tdgn",-1,0.375,1,0.789
196," @desdemona4u:   unfathomable  @  ask wasserman-schultz    postmortem   ",-1,0,0,0
197," see  people   audience looking around   clapped  gay rights. people  like, da fuk... #",-1,0.5,1,0.361
198," @nicksylian:  today   time  next president  one year  office ",-1,0,0,0
199," @funnyordie:   whether  win  lose, donald.   thing  matters  life   winding  like . #",-1,0.583,0.333,0.572
200,"@polisciumn  ted cruz just misspeak   said   closing statement    ""persecute religious liberty?"" #",-1,-0.5,-0.333,0.077
201,"@foxnews fumbles  ",-1,0,-1,0
202," @kristinmcoppens:  uh, climate change, eh guys? # :///vnkjjioqgj",-1,0,0,0
203," @muxywithmoxie: walker emerges  leading candidate  run enterprise rent--car branch :///x6qa8muta7 ",-1,0,0,0
204," @markdavis: #perry, #fiorina clips  #irandeal  better   answers  given    #",-1,0.5,1,0.44
205," channel  watch now. #cnn  liberal,#fnc &amp; @ r #rnc hitman #crony . @ dont join # anymore #gotrump",-1,0.25,1,-0.223
206,"finally talking  race 100 min.   cut  commercial ",-1,-0.25,0,-0.273
207,"@alpal_23 wins snapchat ",-1,1,1,0.572
208," @2dopeantibhvr:  u want us  build  wall ",-1,0.25,0,0.077
209," canadian leaders debated,   producing  wildest show  politics :///mejxxpzg1v #us #usa #uspoli # #",-1,0,0,0
210," @lindasuhler: jeb stands  ""act  love""; comments  earned legal status [boo]#noamnestyhttp:///himscrvikr#",-1,0.5,0,0.691
211," fascinating  see  post-post ",-1,0.75,1,0.542
212," @wolfofwarrenst: just  case  missed  ",-1,-0.5,0,-0.296
213,"charlie   ",-1,0,0,0
214," democracy remains  dire straits cause  aint working  long   get money  nothing   get dicks  free ",-1,-0.25,-0.333,-0.691
215,"  just   can anyone else  wait  snl  weekend    coverage? ",-1,0,-1,0
216,"#   air  boris yeltsin  russia, nd  became president  russia!!!",-1,0,0,0
217,"martha maccallum gets credit  asking whether christians   religious liberty double-standard  muslims ",-1,0,1,0.718
218," @_hankrearden: john sinunu,  wrote  book  jeb's dad,  like .   fucking shock. #",-1,-0.333,-0.333,-0.101
219,"someone  something  say  @lindseygrahamsc ",-1,0,0,0
220," perfect remedy   ",-1,0.75,1,0.572
221,".@instagram  @facebook need  free  @dreamdefenders acct. ",-1,0.25,1,0.511
222,"oh good lord... ",-1,0.75,1,0.44
223," @shawndrurysc: jeb:  father ...oh nevermind. parenting   overrated. ",-1,0,0,0
224," @chakerkhazaal: ",-1,0,0,0
225,""" think god's  pretty fair guy"" -ben carson, neurosurgeon,   belief modern day taxation   based   ancient book#",-1,0.375,1,0.67
226,"advice  ",-1,0,0,0
227,"watching  #  last night. ouf,  tough hearing donald  speak. gonna   long road   republican nomination.",-1,0,-1,-0.128
228," @mozgovaya: 10 men  stage discussing one woman. @hillaryclinton ",-1,0,0,0
229," @jolemo376:  think @foxnews  everything    derail  @   ",-1,-0.5,-1,-0.296
230,"@scottwalker russia &amp; china know   hillary clinton's emails    congress! boom!#rednationraising #",-1,0,0,0
231," @dominionin: blimey! # #foxnews @foxnews @piersmorgan :///gtxrtj8ybn",-1,0,0,0
232," @bipartisanism:  watching  # remember  ""jose  take  job, goldman sachs . :///chhzb49t0w",-1,0,0,0
233,"repealing dodd-frank   wise. ",-1,0,0,0.477
234,"chris christie  rand paul feud  tense national security face-  ",-1,-0.5,-1,-0.34
235," huge...   f",-1,0.25,0,0.318
236," hope people   reality tv exposed    love  paul  christi raised voices.  ",-1,0.333,1,0.778
237," @saradmahmoud: ",-1,0,0,0
238,"@marisol_bello @lindseygrahamsc @etammykim @rhondalevaldo thanks   source  dodd-frank. ",-1,0.5,1,0.44
239," @rwsurfergirl:  big problem facing democrats will    get hillary sober long enough    ? ",-1,-0.125,0,-0.402
240," hear  rumbling beneath  fedral triangle  houses  epa... reagan building ",-1,0,0,0
241," assume  guys  boo  gay soldier  time    opportunity  arise. ",-1,0.5,0,0.421
242," @thepatriot143:  winner overall  today's ",-1,1,1,0.586
243," @lmahoneybee: ",-1,0,0,0
244,"fox  commentators   ashamed   way  treated ! ",-1,-0.5,-1,-0.525
245," @gretchencarlson: ""take  bottle  white     pres obamas policies"" @governorperry # @foxnews @foxnewspolitics",-1,0,0,0
246,"language  beautiful :///gfyti5ilvc ",-1,0.75,1,0.599
247," @theladygrantham:  put lord grantham  charge  donald 's finances? ",-1,0,-1,0
248," answer    important question   #  yes, joe flacco ,  fact,  elite quarterback. #ravensnation",-1,0.375,0,0.542
249,"tonight   entertained   first round   ",-1,0,1,0.402
250," @gauchat: hopefully  find   god stands   taxing-pimps issue. ",-1,0.375,1,0.586
251,"  "" alinsky model, takingadvantage  useful idiots"" # #bencarson",-1,0.5,0,0.44
252," @jordanadolph: . seriously though. ",-1,0,0,-0.178
253,"# "" got nothing.  iran gets everything  want."" @govmikehuckabee #marshamarshamarsha",-1,0.25,0,0.077
254,"chris christie, shown  swallowing  fly  thursday's # #ohgodmakeitstop2015 :///z2vx3cridr",-1,0,0,0
255," @ericstonestreet:   cam hands. ",-1,0,0,0
256,"   want people   wedding whose presence    commanded? @  @tmp  ",-1,0.25,0,0.077
257,"damn...  turn republican  . ",-1,-1,-1,-0.402
258," @rwsurfergirl:  @ posed  adult pictures.  bring  ? ",-1,0,0,0
259,"carly fiorina wrote  op-ed  us  ijreview   performance last night.  :///ldqe8kg2zw ",-1,0,0,0
260," @jami_usa:    hold everyone    standards   #,    worth?",-1,0.5,1,0.226
261," @laurenreeves: ""stay tuned  closing statements, final thoughts,  god.""    turned   tv,  good. #",-1,0.5,1,0.612
262,"reminder: family  important  republican 2016 candidates, just  gay families. :///cs0usassqs # :///fmafdubmfb",-1,0.5,0,0.202
263," @lizadonnelly:  put pearls  jeb!   looks like  mom.  drew  ",-1,0.5,1,0.42
264,"  news -  shocks  faithful - :///v4wnjcy9sw - ",-1,0.125,0,0.077
265," @bettyfckinwhite: -can  answer   direct question?-   president. -, ?#",-1,0,0,0
266," @hayesbrown: fact:  jeb  governor, florida  run   death cult. #",-1,-0.5,-1,-0.599
267," @theyentareport: ?  want  know     candidates hear strange voices   head?  ",-1,0,-1,-0.217
268," @nycdeb8tr: @redsteeze @dalestokely megyn kelly     top,  thought   announce  candidacy last night. #",-1,0.5,0,0.202
269," @ericstonestreet:   cam hands. ",-1,0,0,0
270,": banks  babies.   killers. hell yes  got away  bad deals,   can make  usa  scofflaw ! #",-1,-0.5,-1,-0.9
271," @bettyfckinwhite:  donald   biff  back   future 2? ",-1,0,0,0
272,"walker emerges  leading candidate  run enterprise rent--car branch :///x6qa8muta7 ",-1,0,0,0
273,"media continues  praise last night's fox news hit job  specific candidates: :///qd3lbg4vdf ",-1,0.75,1,0.557
274," @popehat: ",-1,0,0,0
275," @mette_mariek: donald   @eddiepepitone's best character ever. ",-1,0.75,1,0.637
276,"  going  claim god gave   campaign contribution. ",-1,0.25,1,0.273
277,"moving    ",-1,0,0,0
278," @jennrios1191: @bretbaier   far  best moderator tonight. hands . ",-1,0.75,1,0.637
279," @olakunlesoriyan: freedom   free...  must fight   everyday--@realbencarson  ",-1,0.167,0.333,0.71
280,"cruz: "" receive  word  god everyday..."" god: "" blame    guy.   pills   voices.""#",-1,0,-1,0.202
281,"""  find mush,  push""   agree  jack  @aandgshow     great motto  life! ( last night's #)",-1,0.5,1,0.784
282," @alilihay:   also prefer   uterus  registered  washington ",-1,0,0,0
283," @gogoaleee: ig deleted dd account   participated   ",-1,0,0,0
284,"notes   republican  (gibberish) :///j7zipvptxk ",-1,0,0,0
285," @annieslisttx: 44%?   tx latina women make   white man's $. will  ",-1,0,0,0.361
286,".@correctrecord @hillaryclinton fox/ party hunger games-demagog food-fighter @carlyfiorina# #morningjoe :///ygmgbavqut",-1,-0.5,0,0.178
287," @shawndrurysc: jeb:  father ...oh nevermind. parenting   overrated. ",-1,0,0,0
288," american people won  ",-1,0.75,1,0.572
289," @goldietaylor: huckabee. ",-1,0,0,0
290,"unless  talking   schools, air quality, water quality... #kasich #  https:///znljf0zjd9",-1,0,1,0
291,"https:///skhas0lqub god damn!    called  mega ",-1,-0.375,-1,-0.224
292,"fox news just declared  megyn kelly, bret baier,  chris wallace won tonight's . #",-1,0.75,1,0.572
293,"@jamiaw @ ",-1,0,0,0
294,"scientific studies  ",-1,0,0,0
295," @andrew_marcinko:   fb photo   guy  asked whether  candidates  spoken  god  ",-1,0.25,0,0.273
296," @rwsurfergirl:  really really really pissed   fox news      @ ",-1,-1,-1,-0.721
